period,metric,value,category,unit,source
2021Q1,cash_begin,124.73,cashflow,조원,IR_PDF
2021Q1,cash_change,7.14,cashflow,조원,IR_PDF
2021Q1,cash_end,131.87,cashflow,조원,IR_PDF
2021Q1,cff,-0.59,cashflow,조원,IR_PDF
2021Q1,cfi,-8.05,cashflow,조원,IR_PDF
2021Q1,cfo,13.8,cashflow,조원,IR_PDF
2021Q1,net_cash,111.89,cashflow,조원,IR_PDF
2021Q2,cash_begin,131.87,cashflow,조원,IR_PDF
2021Q2,cash_change,-20.76,cashflow,조원,IR_PDF
2021Q2,cash_end,111.1,cashflow,조원,IR_PDF
2021Q2,cff,-19.05,cashflow,조원,IR_PDF
2021Q2,cfi,-14.36,cashflow,조원,IR_PDF
2021Q2,cfo,12.09,cashflow,조원,IR_PDF
2021Q2,net_cash,94.37,cashflow,조원,IR_PDF
2021Q3,cash_begin,111.1,cashflow,조원,IR_PDF
2021Q3,cash_change,9.37,cashflow,조원,IR_PDF
2021Q3,cash_end,120.47,cashflow,조원,IR_PDF
2021Q3,cff,-0.55,cashflow,조원,IR_PDF
2021Q3,cfi,-11.51,cashflow,조원,IR_PDF
2021Q3,cfo,18.58,cashflow,조원,IR_PDF
2021Q3,net_cash,101.4,cashflow,조원,IR_PDF
2021Q4,cash_begin,120.47,cashflow,조원,IR_PDF
2021Q4,cash_change,3.74,cashflow,조원,IR_PDF
2021Q4,cash_end,124.21,cashflow,조원,IR_PDF
2021Q4,cff,-3.8,cashflow,조원,IR_PDF
2021Q4,cfi,-12.95,cashflow,조원,IR_PDF
2021Q4,cfo,20.63,cashflow,조원,IR_PDF
2021Q4,net_cash,105.81,cashflow,조원,IR_PDF
2022Q1,cash_begin,124.21,cashflow,조원,IR_PDF
2022Q1,cash_change,1.68,cashflow,조원,IR_PDF
2022Q1,cash_end,125.89,cashflow,조원,IR_PDF
2022Q1,cff,-0.5,cashflow,조원,IR_PDF
2022Q1,cfi,-9.65,cashflow,조원,IR_PDF
2022Q1,cfo,10.45,cashflow,조원,IR_PDF
2022Q1,net_cash,107.84,cashflow,조원,IR_PDF
2022Q2,cash_begin,125.89,cashflow,조원,IR_PDF
2022Q2,cash_change,-0.54,cashflow,조원,IR_PDF
2022Q2,cash_end,125.35,cashflow,조원,IR_PDF
2022Q2,cff,-5.96,cashflow,조원,IR_PDF
2022Q2,cfi,-12.53,cashflow,조원,IR_PDF
2022Q2,cfo,14.14,cashflow,조원,IR_PDF
2022Q2,net_cash,107.91,cashflow,조원,IR_PDF
2022Q3,cash_begin,125.35,cashflow,조원,IR_PDF
2022Q3,cash_change,3.47,cashflow,조원,IR_PDF
2022Q3,cash_end,128.82,cashflow,조원,IR_PDF
2022Q3,cff,-8.23,cashflow,조원,IR_PDF
2022Q3,cfi,-13.95,cashflow,조원,IR_PDF
2022Q3,cfo,18.98,cashflow,조원,IR_PDF
2022Q3,net_cash,116.36,cashflow,조원,IR_PDF
2022Q4,cash_begin,128.82,cashflow,조원,IR_PDF
2022Q4,cash_change,-13.59,cashflow,조원,IR_PDF
2022Q4,cash_end,115.23,cashflow,조원,IR_PDF
2022Q4,cff,-4.71,cashflow,조원,IR_PDF
2022Q4,cfi,-17.58,cashflow,조원,IR_PDF
2022Q4,cfo,18.61,cashflow,조원,IR_PDF
2022Q4,net_cash,104.89,cashflow,조원,IR_PDF
