period,category,metric,value,unit,source
2024Q1,cashflow,cash_begin,92.41,조원,IR_PDF
2024Q1,cashflow,cash_change,4.99,조원,IR_PDF
2024Q1,cashflow,cash_end,97.39,조원,IR_PDF
2024Q1,cashflow,cff,1.26,조원,IR_PDF
2024Q1,cashflow,cfi,-10.68,조원,IR_PDF
2024Q1,cashflow,cfo,11.87,조원,IR_PDF
2024Q1,cashflow,net_cash,81.89,조원,IR_PDF
2024Q2,cashflow,cash_begin,97.39,조원,IR_PDF
2024Q2,cashflow,cash_change,3.4,조원,IR_PDF
2024Q2,cashflow,cash_end,100.8,조원,IR_PDF
2024Q2,cashflow,cff,-4.1,조원,IR_PDF
2024Q2,cashflow,cfi,-11.51,조원,IR_PDF
2024Q2,cashflow,cfo,16.9,조원,IR_PDF
2024Q2,cashflow,net_cash,84.31,조원,IR_PDF
2024Q4,cashflow,cash_begin,103.78,조원,IR_PDF
2024Q4,cashflow,cash_change,8.88,조원,IR_PDF
2024Q4,cashflow,cash_end,112.65,조원,IR_PDF
2024Q4,cashflow,cff,-2.78,조원,IR_PDF
2024Q4,cashflow,cfi,-16.88,조원,IR_PDF
2024Q4,cashflow,cfo,22.02,조원,IR_PDF
2024Q4,cashflow,net_cash,93.32,조원,IR_PDF
2025Q1,cashflow,cash_begin,112.65,조원,IR_PDF
2025Q1,cashflow,cash_change,-7.52,조원,IR_PDF
2025Q1,cashflow,cash_end,105.13,조원,IR_PDF
2025Q1,cashflow,cff,-11.34,조원,IR_PDF
2025Q1,cashflow,cfi,-13.57,조원,IR_PDF
2025Q1,cashflow,cfo,16.58,조원,IR_PDF
2025Q1,cashflow,net_cash,93.99,조원,IR_PDF
2025Q2,cashflow,cash_begin,105.13,조원,IR_PDF
2025Q2,cashflow,cash_change,-4.41,조원,IR_PDF
2025Q2,cashflow,cash_end,100.73,조원,IR_PDF
2025Q2,cashflow,cff,-3.41,조원,IR_PDF
2025Q2,cashflow,cfi,-13.35,조원,IR_PDF
2025Q2,cashflow,cfo,17.31,조원,IR_PDF
2025Q2,cashflow,net_cash,86.7,조원,IR_PDF
