period,segment,metric,value,scope,unit
2020Q1,CE,op_profit,0.45,,조원
2020Q1,CE,revenue,10.3,,조원
2020Q1,DS,op_profit,3.72,,조원
2020Q1,DS,revenue,24.13,,조원
2020Q1,Harman,op_profit,0.12,,조원
2020Q1,Harman,revenue,2.1,,조원
2020Q1,IM,op_profit,2.65,,조원
2020Q1,IM,revenue,26.0,,조원
2020Q1,Total,op_profit,6.45,,조원
2020Q1,Total,revenue,55.33,,조원
2020Q2,CE,op_profit,0.73,,조원
2020Q2,CE,revenue,10.17,,조원
2020Q2,DS,op_profit,5.74,,조원
2020Q2,DS,revenue,25.05,,조원
2020Q2,Harman,revenue,1.54,,조원
2020Q2,IM,op_profit,1.95,,조원
2020Q2,IM,revenue,20.75,,조원
2020Q2,Total,op_profit,8.15,,조원
2020Q2,Total,revenue,52.97,,조원
2020Q3,CE,op_profit,1.56,,조원
2020Q3,CE,revenue,14.09,,조원
2020Q3,DS,op_profit,6.04,,조원
2020Q3,DS,revenue,25.93,,조원
2020Q3,Harman,op_profit,0.15,,조원
2020Q3,Harman,revenue,2.62,,조원
2020Q3,IM,op_profit,4.45,,조원
2020Q3,IM,revenue,30.49,,조원
2020Q3,Total,op_profit,12.35,,조원
2020Q3,Total,revenue,66.96,,조원
2020Q4,CE,op_profit,0.82,,조원
2020Q4,CE,revenue,13.61,,조원
2020Q4,DS,op_profit,5.63,,조원
2020Q4,DS,revenue,27.92,,조원
2020Q4,Harman,op_profit,0.18,,조원
2020Q4,Harman,revenue,2.92,,조원
2020Q4,IM,op_profit,2.42,,조원
2020Q4,IM,revenue,22.34,,조원
2020Q4,Total,op_profit,9.05,,조원
2020Q4,Total,revenue,61.55,,조원
