period,mpe_shipments_index
2015Q1,96.34166666666667
2015Q2,101.56881720430107
2015Q3,97.85860215053764
2015Q4,104.49784946236558
2016Q1,98.43467741935483
2016Q2,104.39946236559139
2016Q3,100.60026881720431
2016Q4,112.04462365591398
2017Q1,105.00940860215054
2017Q2,112.7290322580645
2017Q3,107.88951612903226
2017Q4,105.91666666666667
2018Q1,102.44112903225806
2018Q2,108.53844086021506
2018Q3,103.01559139784948
2018Q4,107.65779569892473
2019Q1,100.7258064516129
2019Q2,107.5771505376344
2019Q3,103.34596774193548
2019Q4,112.63817204301075
2020Q1,102.3475806451613
2020Q2,99.44247311827957
2020Q3,105.81720430107526
2020Q4,112.79354838709676
2021Q1,109.04811827956989
2021Q2,112.27956989247312
2021Q3,102.53198924731183
2021Q4,106.75403225806451
2022Q1,100.6983870967742
2022Q2,103.48010752688171
2022Q3,100.31263440860216
2022Q4,104.17338709677419
2023Q1,91.03486559139785
2023Q2,94.80884408602151
2023Q3,91.15846774193548
2023Q4,94.98287634408601
2024Q1,95.09397849462366
2024Q2,95.43970430107527
2024Q3,92.97029569892473
2024Q4,97.9165322580645
